Service,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
119,705,KKDA UP,10:43,PVGW UP,11:50,UP,67,no,No StepBack,No StepBack,545,546
676,701,KKDA DN,10:43,MUPR,10:59,DN,16,yes,No StepBack,No StepBack,645,None
120,718,PVGW DN,10:44,KKDA DN,11:50,DN,66,no,No StepBack,No StepBack,827,828
677,704,MUPR,10:45,KKDA UP,11:00,UP,15,yes,No StepBack,No StepBack,595,None
121,741,KKDA UP,10:47,PVGW UP,11:54,UP,67,no,No StepBack,No StepBack,558,559
430,708,PVGW UP,10:47,PVGW DN,11:21,UP,34,yes,No StepBack,No StepBack,387,916
678,726,KKDA DN,10:48,MUPR,11:03,DN,15,yes,No StepBack,No StepBack,659,None
122,709,PVGW DN,10:49,KKDA DN,11:55,DN,66,no,No StepBack,No StepBack,837,838
679,743,MUPR,10:49,KKDA UP,11:04,UP,15,yes,No StepBack,No StepBack,608,None
680,710,KKDA DN,10:52,MUPR,11:07,DN,15,yes,No StepBack,No StepBack,669,None
123,712,KKDA UP,10:52,PVGW UP,11:58,UP,66,no,No StepBack,No StepBack,573,574
431,707,PVGW UP,10:53,PVGW DN,11:28,UP,35,yes,No StepBack,No StepBack,401,930
681,724,MUPR,10:53,KKDA UP,11:08,UP,15,yes,No StepBack,No StepBack,623,None
124,737,PVGW DN,10:54,KKDA DN,12:00,DN,66,no,No StepBack,No StepBack,851,852
682,727,KKDA DN,10:56,MUPR,11:11,DN,15,yes,No StepBack,No StepBack,683,None
125,742,KKDA UP,10:56,PVGW UP,12:02,UP,66,no,No StepBack,No StepBack,582,583
683,744,MUPR,10:57,KKDA UP,11:12,UP,15,yes,No StepBack,No StepBack,632,None
126,703,PVGW DN,10:59,KKDA DN,12:05,DN,66,no,No StepBack,No StepBack,865,866
432,717,PVGW UP,10:59,PVGW DN,11:34,UP,35,yes,No StepBack,No StepBack,415,944
684,716,KKDA DN,11:00,MUPR,11:15,DN,15,yes,No StepBack,No StepBack,697,None
